,1000_1,1000_2,500_1,500_2,100_1,100_2
train_119.png,1,1,0,2,1,3
train_120.png,3,2,0,2,3,1
train_121.png,3,1,1,0,0,1
train_122.png,0,0,3,1,0,3
train_123.png,1,0,2,1,2,0
train_124.png,2,1,0,3,0,2
train_125.png,1,1,1,0,2,3
train_126.png,1,2,0,1,1,0
train_127.png,0,3,1,0,3,0
train_128.png,2,3,2,0,3,3
train_129.png,3,3,1,2,1,0
train_130.png,0,0,0,3,3,3
train_131.png,3,3,0,2,2,2
train_132.png,0,1,2,2,2,0
train_133.png,1,0,3,3,2,1
train_134.png,1,2,1,3,2,2
train_135.png,0,2,0,2,0,3
train_136.png,0,1,0,3,2,1
train_137.png,3,1,3,1,2,3
train_138.png,0,3,1,1,2,2
train_139.png,0,1,0,3,0,2
train_140.png,2,0,1,3,0,1
train_141.png,2,0,0,3,0,2
train_142.png,2,0,0,3,1,1
train_143.png,2,2,2,3,0,1
train_144.png,1,0,0,2,0,0
train_145.png,0,2,3,3,3,3
train_146.png,1,0,3,3,1,3
train_147.png,3,3,0,0,3,2
train_148.png,0,0,1,3,2,2
train_149.png,2,3,1,0,1,1
train_150.png,3,2,3,0,3,3
train_151.png,2,2,1,0,1,2
train_152.png,0,3,0,1,1,0
train_153.png,2,2,1,1,0,2
train_154.png,3,2,0,1,2,0
train_155.png,2,2,1,3,1,2
train_156.png,3,0,0,2,1,1
train_157.png,3,0,2,0,2,0
train_158.png,3,0,2,0,2,2
train_159.png,3,3,2,3,3,3
train_160.png,0,3,3,2,2,2
train_161.png,3,3,0,3,1,1
train_162.png,1,0,3,3,3,1
train_163.png,1,2,0,2,2,0
train_164.png,2,2,0,2,0,1
train_165.png,2,2,1,1,3,3
train_166.png,1,2,2,2,3,3
train_167.png,3,3,0,2,2,0
train_168.png,1,2,0,3,3,1
train_169.png,1,0,3,1,0,1
train_170.png,0,0,1,1,1,2
train_171.png,0,2,3,1,2,2
train_172.png,0,2,0,3,3,1
train_173.png,1,2,3,1,0,3
train_174.png,0,0,0,1,2,1
train_175.png,1,3,1,1,0,0
train_176.png,3,2,0,0,0,3
train_177.png,2,0,2,0,2,0
train_178.png,3,1,1,1,3,3
train_179.png,1,1,0,2,3,3
train_180.png,0,1,3,3,1,0
train_181.png,3,3,1,1,1,0
train_182.png,2,3,2,3,1,2
train_183.png,1,0,1,2,3,2
train_184.png,2,2,2,3,0,1
train_185.png,2,0,2,2,3,2
train_186.png,1,3,1,3,1,0
train_187.png,1,0,1,3,2,2
train_188.png,2,1,0,2,0,1
train_189.png,0,3,2,1,2,0
train_190.png,3,2,3,3,2,3
train_191.png,3,3,1,3,0,0
train_192.png,0,0,2,1,2,3
train_193.png,0,0,3,0,1,0
train_194.png,3,1,3,1,3,0
train_195.png,0,3,2,3,2,0
train_196.png,1,2,0,1,0,0
train_197.png,3,3,0,2,0,2
train_198.png,2,1,3,2,1,2
train_199.png,0,0,3,2,0,2
train_200.png,0,1,3,3,2,3
train_201.png,3,2,0,3,0,2
train_202.png,3,2,1,1,2,1
train_203.png,1,3,0,2,1,1
train_204.png,0,0,3,2,3,2
train_205.png,1,2,2,1,1,1
train_206.png,1,2,3,1,3,3
train_207.png,2,1,0,0,0,0
train_208.png,0,2,0,1,3,3
train_209.png,0,2,1,2,0,0
train_210.png,0,3,3,2,3,0
train_211.png,3,3,0,2,0,2
train_212.png,2,0,1,3,2,0
train_213.png,2,3,2,0,1,0
train_214.png,1,2,1,3,1,1
train_215.png,1,3,1,0,0,2
train_216.png,0,0,3,0,1,0
train_217.png,0,1,2,1,2,1
train_218.png,2,0,0,3,1,3
train_219.png,0,0,0,3,3,0
train_220.png,0,0,2,1,3,1
train_221.png,3,2,3,0,1,2
train_222.png,2,3,2,0,1,0
train_223.png,1,0,3,1,3,0
train_224.png,1,0,1,1,0,0
train_225.png,3,2,2,2,0,2
train_226.png,3,2,0,0,0,1
train_227.png,2,1,0,3,1,1
train_228.png,1,1,1,3,0,0
train_229.png,1,1,0,1,3,1
train_230.png,1,3,2,1,0,0
train_231.png,0,3,1,3,3,2
train_232.png,0,3,0,1,1,0
train_233.png,3,3,3,1,0,3
train_234.png,1,0,2,3,1,1
train_235.png,0,2,2,2,3,2
train_236.png,1,1,3,0,3,3
train_237.png,1,1,0,3,0,0
train_238.png,3,3,0,0,2,0
train_239.png,2,0,0,2,3,1
train_240.png,1,2,2,2,2,3
train_241.png,3,0,2,1,3,1
train_242.png,3,2,3,3,3,0
train_243.png,0,0,0,1,3,2
train_244.png,0,0,0,0,3,1
train_245.png,2,0,2,0,2,1
train_246.png,1,2,2,2,3,1
train_247.png,1,2,0,1,1,3
train_248.png,3,2,2,2,3,0
train_249.png,1,1,1,2,1,3
train_250.png,2,2,0,1,3,1
train_251.png,2,1,3,0,1,2
train_252.png,0,1,0,3,1,1
train_253.png,3,1,2,1,3,2
train_254.png,1,2,1,3,3,3
train_255.png,0,1,2,0,0,2
train_256.png,3,0,1,0,2,3
train_257.png,1,2,2,1,2,1
train_258.png,3,2,1,3,0,3
train_259.png,1,1,2,0,0,0
train_260.png,0,2,1,1,0,3
train_261.png,1,3,2,3,1,1
train_262.png,1,3,3,1,1,1
train_263.png,1,2,2,0,2,0
train_264.png,2,2,3,1,1,0
train_265.png,3,3,2,1,0,1
train_266.png,0,0,0,2,0,1
train_267.png,3,3,3,3,2,2
train_268.png,0,2,2,3,0,3
train_269.png,1,0,2,3,2,0
train_270.png,2,1,0,2,1,2
train_271.png,3,2,0,1,1,2
train_272.png,2,1,3,1,2,2
train_273.png,1,1,0,1,1,1
train_274.png,0,0,3,2,1,2
train_275.png,0,2,0,2,2,3
train_276.png,2,0,1,1,2,1
train_277.png,2,2,0,1,2,0
train_278.png,0,3,0,0,1,1
train_279.png,3,3,1,2,0,1
train_280.png,3,0,0,1,0,1
train_281.png,3,3,2,3,0,2
train_282.png,0,3,2,0,2,2
train_283.png,1,3,3,0,0,1
train_284.png,0,2,3,2,1,2
train_285.png,3,1,2,1,1,1
train_286.png,2,3,2,3,3,0
train_287.png,2,3,2,3,3,2
train_288.png,3,2,3,2,0,2
train_289.png,1,1,1,1,3,1
train_290.png,3,1,1,0,1,2
train_291.png,1,0,0,3,1,3
train_292.png,2,1,0,3,1,0
train_293.png,2,2,0,0,0,3
train_294.png,1,2,0,1,0,2
train_295.png,2,1,0,3,2,3
train_296.png,2,3,2,2,3,0
train_297.png,0,2,1,1,3,3
train_298.png,0,0,3,1,1,1
train_299.png,0,1,3,1,1,0
train_300.png,2,2,3,3,0,3
train_301.png,1,0,2,1,2,3
train_302.png,2,1,0,2,1,3
train_303.png,0,2,1,2,3,2
train_304.png,1,3,3,0,2,3
train_305.png,2,0,1,3,0,2
train_306.png,1,1,3,3,1,2
train_307.png,3,3,2,1,3,1
train_308.png,1,3,2,0,2,2
train_309.png,2,0,2,0,1,0
train_310.png,1,1,1,1,3,0
train_311.png,2,1,2,3,1,0
train_312.png,2,1,1,1,2,2
train_313.png,0,1,0,2,3,1
train_314.png,1,0,2,1,1,2
train_315.png,0,3,0,0,3,2
train_316.png,0,3,0,1,3,0
train_317.png,1,1,3,3,1,2
train_318.png,0,2,2,2,0,3
train_319.png,2,0,2,1,2,3
train_320.png,0,3,2,2,0,0
train_321.png,0,1,3,1,0,2
train_322.png,3,2,3,1,3,0
train_323.png,1,0,2,3,1,2
train_324.png,3,0,1,1,3,1
train_325.png,2,2,0,0,2,1
train_326.png,1,1,0,0,0,1
train_327.png,2,2,3,1,1,2
train_328.png,2,0,0,0,2,2
train_329.png,1,2,3,1,1,0
train_330.png,0,3,0,3,3,0
train_331.png,2,0,1,3,3,0
train_332.png,2,1,0,3,0,3
train_333.png,0,3,2,1,3,0
train_334.png,2,0,2,1,1,0
train_335.png,3,0,2,2,3,1
train_336.png,0,0,3,2,0,0
train_337.png,2,2,1,1,2,1
train_338.png,2,1,3,3,2,0
train_339.png,1,0,3,1,0,3
train_340.png,1,1,3,0,1,2
train_341.png,2,2,0,0,2,2
train_342.png,0,1,3,0,3,0
train_343.png,1,3,2,3,0,2
train_344.png,1,2,3,2,2,0
train_345.png,0,2,0,1,2,3
train_346.png,0,1,1,2,0,0
train_347.png,2,3,2,2,3,3
train_348.png,3,1,2,2,2,3
train_349.png,1,3,2,3,0,1
train_350.png,0,0,3,3,3,1
train_351.png,2,2,0,3,0,2
train_352.png,1,1,0,0,2,0
train_353.png,3,3,0,3,0,3
train_354.png,1,0,3,1,0,0
train_355.png,2,1,2,2,2,0
train_356.png,2,2,0,1,2,3
train_357.png,3,1,0,1,3,3
train_358.png,2,0,2,1,3,1
train_359.png,2,1,0,3,1,2
train_360.png,3,2,2,3,3,3
train_361.png,0,3,3,3,2,1
train_362.png,3,2,1,3,1,0
train_363.png,2,3,3,3,2,3
train_364.png,0,0,2,2,3,3
train_365.png,2,3,0,1,0,2
train_366.png,0,3,0,0,1,3
train_367.png,0,1,2,1,1,3
train_368.png,0,2,0,0,1,1
train_369.png,1,3,0,1,0,3
train_370.png,0,0,0,0,0,3
train_371.png,3,3,2,3,2,1
train_372.png,2,0,1,3,0,1
train_373.png,1,0,2,3,0,3
train_374.png,0,2,0,3,2,0
train_375.png,1,0,0,1,0,3
train_376.png,2,1,0,2,3,3
train_377.png,0,2,0,1,3,0
train_378.png,2,2,3,1,3,0
train_379.png,1,0,1,3,3,3
train_380.png,0,2,3,0,1,2
train_381.png,0,0,2,2,0,3
train_382.png,0,2,0,3,2,0
train_383.png,3,3,2,0,2,0
train_384.png,1,2,3,1,1,3
train_385.png,0,0,2,1,2,3
train_386.png,0,3,0,2,0,0
train_387.png,1,2,2,2,0,0
train_388.png,2,2,1,1,3,0
train_389.png,2,0,2,1,2,3
train_390.png,2,3,0,0,1,3
train_391.png,3,3,3,2,0,2
train_392.png,1,0,0,0,1,0
train_393.png,1,0,2,0,0,1
train_394.png,1,1,3,3,0,1
train_395.png,3,0,3,0,2,0
train_396.png,0,0,3,2,1,0
train_397.png,1,0,3,2,1,3
train_398.png,0,0,1,1,1,1
train_399.png,1,3,3,1,1,0
train_400.png,1,1,3,3,3,0
train_401.png,3,1,0,2,1,3
train_402.png,3,2,1,1,1,0
train_403.png,0,2,3,3,0,2
train_404.png,3,3,0,0,1,0
train_405.png,3,0,2,3,1,3
train_406.png,0,1,3,3,0,3
train_407.png,3,3,0,3,2,3
train_408.png,1,1,0,2,3,0
train_409.png,0,1,2,1,0,1
train_410.png,2,0,3,0,2,2
train_411.png,2,3,0,3,0,2
train_412.png,3,3,3,0,3,3
train_413.png,1,3,1,1,0,1
train_414.png,3,1,0,3,1,3
train_415.png,0,3,0,3,3,1
train_416.png,1,1,2,1,0,1
train_417.png,2,2,0,3,3,2
train_418.png,1,1,3,0,1,2
train_419.png,2,2,0,1,2,2
train_420.png,1,3,0,2,1,2
train_421.png,1,3,1,2,3,3
train_422.png,3,0,0,1,1,3
train_423.png,3,3,3,2,0,2
train_424.png,2,1,3,3,1,1
train_425.png,2,2,1,2,2,2
train_426.png,2,1,3,1,2,0
train_427.png,1,2,2,1,1,0
train_428.png,3,0,0,3,2,0
train_429.png,3,0,3,2,0,1
train_430.png,2,3,1,3,0,0
train_431.png,0,0,0,2,2,0
train_432.png,0,2,1,0,1,2
train_433.png,2,0,0,0,1,1
train_434.png,3,3,1,0,1,2
train_435.png,3,1,0,1,3,1
train_436.png,2,3,3,1,1,1
train_437.png,3,1,3,0,0,2
train_438.png,1,3,0,3,3,3
train_439.png,0,0,0,3,3,1
train_440.png,3,1,1,3,3,1
train_441.png,0,3,2,3,0,3
train_442.png,3,0,0,3,1,3
train_443.png,2,0,2,0,1,0
train_444.png,3,2,2,3,0,3
train_445.png,3,3,1,1,2,2
train_446.png,3,2,0,2,0,0
train_447.png,3,3,2,1,1,3
train_448.png,0,2,3,0,1,0
train_449.png,2,3,3,0,3,0
train_450.png,0,3,3,2,3,2
train_451.png,2,2,3,1,1,0
train_452.png,0,3,2,2,1,0
train_453.png,2,2,2,0,3,1
train_454.png,2,2,2,3,2,1
train_455.png,2,0,1,0,3,1
train_456.png,2,2,2,2,1,0
train_457.png,1,2,0,1,3,0
train_458.png,3,2,0,2,0,1
train_459.png,0,3,2,0,1,0
train_460.png,1,3,0,2,0,0
train_461.png,3,3,2,2,3,3
train_462.png,3,0,2,2,2,1
train_463.png,2,2,0,3,3,2
train_464.png,3,0,3,2,3,0
train_465.png,3,2,1,2,2,3
train_466.png,2,3,3,2,0,0
train_467.png,3,1,0,1,1,2
train_468.png,2,0,0,1,0,2
train_469.png,2,3,3,2,3,3
train_470.png,0,1,2,0,1,0
train_471.png,2,1,0,3,2,1
train_472.png,1,0,3,2,0,0
train_473.png,3,3,3,3,3,2
train_474.png,1,3,3,1,0,3
train_475.png,3,1,2,2,2,3
train_476.png,2,1,1,2,3,0
train_477.png,2,1,1,1,3,0
train_478.png,2,2,2,2,3,3
train_479.png,0,3,0,2,0,2
train_480.png,1,3,0,0,3,0
train_481.png,1,2,0,2,2,0
train_482.png,3,3,2,1,0,0
train_483.png,1,2,3,0,3,1
train_484.png,2,2,1,0,1,0
train_485.png,3,0,0,2,0,2
train_486.png,1,3,1,3,2,3
train_487.png,1,3,3,0,2,2
train_488.png,2,3,1,2,0,0
train_489.png,3,1,3,2,1,0
train_490.png,2,1,2,0,1,1
train_491.png,1,0,3,0,1,2
train_492.png,3,0,2,2,0,1
train_493.png,2,0,0,0,0,0
train_494.png,3,1,0,0,0,0
train_495.png,3,3,2,0,1,0
train_496.png,2,1,2,1,3,3
train_497.png,3,1,3,3,2,1
train_498.png,2,0,3,3,1,2
train_499.png,1,2,2,2,0,3
train_500.png,2,3,1,2,3,0
train_501.png,3,1,0,2,3,0
train_502.png,2,3,2,0,0,0
train_503.png,3,3,2,2,1,0
train_504.png,2,2,0,2,0,2
train_505.png,2,3,2,3,3,0
train_506.png,2,1,1,3,1,1
train_507.png,0,2,1,1,3,3
train_508.png,1,1,1,1,0,0
train_509.png,0,3,0,3,1,2
train_510.png,1,0,1,1,3,2
train_511.png,3,2,2,1,1,0
train_512.png,3,2,2,3,2,0
train_513.png,2,0,1,3,0,3
train_514.png,3,2,0,1,0,2
train_515.png,1,1,3,2,2,0
train_516.png,3,1,1,1,2,0
train_517.png,1,1,1,3,2,2
train_518.png,3,3,1,0,3,2
train_519.png,3,3,1,0,2,2
train_520.png,0,0,1,3,0,2
train_521.png,3,3,1,0,3,0
train_522.png,1,0,1,1,2,1
train_523.png,2,0,3,0,0,0
train_524.png,2,3,3,1,1,2
train_525.png,3,3,2,3,2,1
train_526.png,3,3,3,0,2,1
train_527.png,2,2,3,1,1,2
train_528.png,0,2,2,2,3,2
train_529.png,1,0,2,2,2,3
train_530.png,0,0,1,1,0,0
train_531.png,2,2,0,3,1,3
train_532.png,2,3,1,1,1,3
train_533.png,2,2,2,0,1,3
train_534.png,3,0,1,0,2,0
train_535.png,1,2,0,1,1,3
train_536.png,0,0,3,1,0,2
train_537.png,0,0,3,3,0,3
train_538.png,3,0,2,1,2,3
train_539.png,0,0,1,1,2,2
train_540.png,1,0,0,2,2,1
train_541.png,0,2,3,2,2,0
train_542.png,3,1,2,0,0,0
train_543.png,0,0,1,2,3,1
train_544.png,0,3,1,3,1,3
train_545.png,2,1,3,3,1,1
train_546.png,0,0,1,0,0,0
train_547.png,2,2,2,1,1,3
train_548.png,1,1,0,0,3,3
train_549.png,0,3,2,1,1,0
train_550.png,2,1,0,3,1,0
train_551.png,1,3,1,0,3,2
train_552.png,0,2,1,2,0,3
train_553.png,3,3,3,2,2,0
train_554.png,2,1,3,1,3,2
train_555.png,1,0,0,1,2,2
train_556.png,2,1,3,1,1,2
train_557.png,3,3,0,0,0,3
train_558.png,2,2,0,0,3,2
train_559.png,3,3,1,3,0,1
train_560.png,1,2,1,0,0,3
train_561.png,3,0,3,0,0,2
train_562.png,1,3,3,3,0,1
train_563.png,0,3,1,3,2,0
train_564.png,3,2,3,3,2,1
train_565.png,3,1,2,2,1,3
train_566.png,3,0,3,3,0,1
train_567.png,3,2,2,0,0,1
train_568.png,1,1,0,2,1,1
train_569.png,2,0,2,0,2,3
train_570.png,0,3,1,0,3,2
train_571.png,3,0,0,3,0,3
train_572.png,0,3,2,2,0,3
train_573.png,3,2,1,2,2,0
train_574.png,3,0,0,0,0,1
train_575.png,1,3,1,2,2,3
train_576.png,1,1,3,1,1,0
train_577.png,3,1,1,1,2,2
train_578.png,0,3,0,1,1,3
train_579.png,2,3,3,3,1,2
train_580.png,2,0,3,1,0,1
train_581.png,3,3,1,3,3,0
train_582.png,1,1,3,2,0,0
train_583.png,1,2,1,3,2,3
train_584.png,1,3,3,1,3,3
train_585.png,3,2,2,1,3,1
train_586.png,3,1,2,0,3,0
train_587.png,1,1,1,3,1,1
train_588.png,0,2,2,1,3,1
train_589.png,2,3,2,0,0,3
train_590.png,0,0,3,2,3,0
train_591.png,1,0,3,1,3,1
train_592.png,2,2,3,1,1,1
train_593.png,3,0,1,0,0,0
train_594.png,2,2,2,0,1,2
train_595.png,1,2,0,0,1,1
train_596.png,3,1,0,2,2,3
train_597.png,1,2,0,1,0,3
train_598.png,0,0,3,1,2,0
train_599.png,2,3,3,1,0,2
train_600.png,3,3,1,1,3,0
train_601.png,3,1,3,1,3,0
train_602.png,3,1,0,0,1,2
train_603.png,1,2,2,3,3,3
train_604.png,3,2,2,2,2,1
train_605.png,3,1,2,2,0,2
train_606.png,1,2,3,1,3,2
train_607.png,2,2,3,2,1,1
train_608.png,1,2,3,2,0,2
train_609.png,2,1,1,2,2,2
train_610.png,0,3,2,0,1,2
train_611.png,1,2,3,2,0,3
train_612.png,2,0,3,2,2,1
train_613.png,1,1,3,1,0,3
train_614.png,0,1,3,3,2,0
train_615.png,2,3,2,3,1,2
train_616.png,3,0,0,1,1,3
train_617.png,0,3,1,0,1,3
train_618.png,1,1,3,1,3,0
train_619.png,0,0,0,1,0,3
train_620.png,2,2,0,3,3,3
train_621.png,3,3,0,2,3,2
train_622.png,1,3,3,0,2,1
train_623.png,2,0,1,0,2,2
train_624.png,2,3,0,3,2,3
train_625.png,1,1,2,0,3,0
train_626.png,3,2,2,1,3,0
train_627.png,1,0,3,0,1,2
train_628.png,3,1,1,3,3,0
train_629.png,1,0,3,0,3,2
train_630.png,2,1,3,2,3,1
train_631.png,3,2,1,2,2,0
train_632.png,3,1,1,3,1,3
train_633.png,0,1,0,1,3,1
train_634.png,0,0,2,2,0,1
train_635.png,1,1,2,0,1,0
train_636.png,2,2,2,3,2,2
train_637.png,3,1,1,3,0,2
train_638.png,0,1,2,3,3,3
train_639.png,2,1,1,3,2,0
train_640.png,3,2,0,2,2,2
train_641.png,0,0,1,0,0,0
train_642.png,0,3,0,1,2,3
train_643.png,3,1,2,3,1,3
train_644.png,0,0,3,1,2,1
train_645.png,0,0,1,3,0,1
train_646.png,2,2,3,1,0,3
train_647.png,2,0,3,0,2,1
train_648.png,1,0,0,0,2,0
train_649.png,0,2,0,1,1,1
train_650.png,1,0,0,0,0,3
train_651.png,3,1,2,1,3,0
train_652.png,3,3,2,1,0,3
train_653.png,1,1,1,3,2,3
train_654.png,3,2,1,1,1,3
train_655.png,2,2,3,2,3,3
train_656.png,0,1,1,0,0,3
train_657.png,1,2,1,0,3,3
train_658.png,0,2,1,1,2,3
train_659.png,3,2,2,0,3,0
train_660.png,0,1,2,0,1,2
train_661.png,2,3,1,2,0,0
train_662.png,3,1,1,0,2,2
train_663.png,1,3,3,2,3,1
train_664.png,3,1,2,2,3,0
train_665.png,2,1,1,2,3,1
train_666.png,2,2,3,3,3,1
train_667.png,3,1,3,1,1,0
train_668.png,3,2,1,3,0,2
train_669.png,3,2,2,1,1,1
train_670.png,3,0,2,3,0,2
train_671.png,3,3,2,1,2,1
train_672.png,2,1,3,1,3,2
train_673.png,1,0,2,2,3,1
train_674.png,0,2,0,2,0,1
train_675.png,0,1,0,0,2,2
train_676.png,3,0,2,2,2,0
train_677.png,0,1,1,2,2,0
train_678.png,3,1,0,3,1,1
train_679.png,1,1,3,1,0,1
train_680.png,2,2,0,1,1,3
train_681.png,0,2,2,1,3,1
train_682.png,2,0,1,2,1,3
train_683.png,1,0,2,1,2,1
train_684.png,3,1,0,3,3,3
train_685.png,2,1,2,1,1,0
train_686.png,0,1,2,3,1,3
train_687.png,1,3,0,3,0,0
train_688.png,3,3,1,0,2,1
train_689.png,1,3,2,1,3,0
train_690.png,0,1,2,1,3,3
train_691.png,0,2,3,2,1,0
train_692.png,0,1,3,0,2,2
train_693.png,3,0,2,1,1,0
train_694.png,0,1,2,0,2,0
train_695.png,3,1,3,0,2,3
train_696.png,3,0,2,3,3,0
train_697.png,3,2,0,1,1,2
train_698.png,3,3,2,0,3,0
train_699.png,0,0,2,1,1,0
train_700.png,2,3,0,1,0,2
train_701.png,2,1,3,3,2,2
train_702.png,0,1,2,2,2,1
train_703.png,2,1,2,0,0,2
train_704.png,3,0,3,0,0,1
train_705.png,0,2,2,1,1,1
train_706.png,3,0,2,0,1,0
train_707.png,2,1,2,2,0,3
train_708.png,1,2,1,2,0,2
train_709.png,3,3,0,0,0,0
train_710.png,3,3,1,2,1,1
train_711.png,1,3,2,1,2,0
train_712.png,3,3,1,0,1,3
train_713.png,2,2,2,3,2,2
train_714.png,3,3,1,0,1,3
train_715.png,2,0,0,1,3,2
train_716.png,3,2,0,2,2,3
train_717.png,3,3,1,3,1,0
train_718.png,3,0,2,2,1,3
train_719.png,0,2,2,1,3,3
train_720.png,1,2,2,0,0,3
train_721.png,3,0,2,2,3,2
train_722.png,1,2,1,3,1,3
train_723.png,2,0,1,3,1,2
train_724.png,2,0,3,3,3,3
train_725.png,3,0,0,3,0,2
train_726.png,1,0,1,1,1,2
train_727.png,3,0,1,2,0,0
train_728.png,2,3,2,3,1,0
train_729.png,1,1,0,2,2,0
train_730.png,1,3,3,2,1,2
train_731.png,2,1,2,3,1,2
train_732.png,2,3,1,1,2,3
train_733.png,1,0,2,2,0,3
train_734.png,3,0,1,3,2,0
train_735.png,0,3,2,0,2,0
train_736.png,1,2,0,0,2,0
train_737.png,3,3,0,0,0,3
train_738.png,1,1,3,0,3,0
train_739.png,0,1,0,1,1,1
train_740.png,2,2,0,2,3,2
train_741.png,2,3,3,2,0,1
train_742.png,3,1,3,0,0,2
train_743.png,1,0,0,3,2,0
train_744.png,0,2,2,2,3,1
train_745.png,0,2,1,1,1,1
train_746.png,3,3,0,0,1,0
train_747.png,1,0,3,1,0,0
train_748.png,2,2,0,3,0,0
train_749.png,3,3,0,1,2,2
train_750.png,3,2,1,2,1,0
train_751.png,0,3,0,1,3,2
train_752.png,3,0,2,3,1,1
train_753.png,0,3,3,0,1,3
train_754.png,2,2,1,0,0,2
train_755.png,2,0,2,2,2,3
train_756.png,3,1,0,3,3,3
train_757.png,3,0,0,1,3,3
train_758.png,1,2,3,0,2,1
train_759.png,2,3,3,0,3,2
train_760.png,3,3,2,2,2,1
train_761.png,2,2,3,1,1,2
train_762.png,1,0,3,1,2,3
train_763.png,2,3,2,2,2,0
train_764.png,3,1,2,0,0,3
train_765.png,0,2,2,1,2,0
train_766.png,2,2,2,2,0,2
train_767.png,1,2,2,0,3,2
train_768.png,3,0,1,3,2,2
train_769.png,1,3,2,0,2,3
train_770.png,0,1,1,1,0,1
train_771.png,3,1,0,1,1,1
train_772.png,1,2,1,0,2,1
train_773.png,0,3,2,0,1,2
